,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,GOOGL,HD,HON,INTC,INTU,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SPY,TMO,TXN,UNH,UNP,UPS,V,WMT,XOM
2020-12-31,,-4.8364954620228384e-12,,,3.3033572595601867e-14,,-1.5142901721379772e-12,,1.021942713644014e-13,,,-1.5195958040519115e-11,,,-8.48693507473771e-12,,,,,,,,,,-4.162636936951595e-13,,,,,,,,,,4.372026847493366e-11,,,,,,,,-7.434939851414273e-12,,,,,,,-4.697376866597839e-12,
2021-03-31,,,,,3.615780343763854e-12,,,,,8.333339337339529e-13,,-1.448636427899808e-11,3.274930746436573e-12,,,,4.5431356597058413e-13,,,,,,,3.3281661507924755e-12,,,,,,,,,3.2241328723316134e-12,,,,,,7.854858398904996e-13,,,,-7.313478154633166e-12,,,,,,,,2.8604425439524714e-12
2021-04-30,,,,,5.201891255278529e-12,,,,,3.54158163924888e-13,,-1.4858417430091808e-11,5.068173670838679e-12,,,,8.34526914364239e-14,,2.7810086044692787e-12,,,,,,,,,,,,,,5.251561426672089e-12,,,,,,,,,,-8.588413164563343e-12,,,,,-7.382724431230066e-13,,,4.3005099245548744e-12
2021-06-30,,,,,4.973278465368642e-12,,,,,-1.2815686024019146e-12,,,5.375914422363801e-12,,,-1.7006073814951155e-12,,,2.8870639227416405e-12,,,,,,,,,,,,-1.4957876697819162e-12,,5.490983003255417e-12,,,,,,,-1.7755201639654508e-12,2.5166516938435838e-14,,-1.0963390986282998e-11,,,,,,,,
2021-08-31,,,,,,,,,,,,-2.3703674301282966e-13,,-2.5308066721593544e-13,1.8654961016176053e-12,,,,4.818294022392497e-12,-1.8984116819293732e-13,,,,,,1.6698445862669941e-12,,,,,-1.6753476381638296e-12,,,,,,,,,,1.9062821279151358e-12,,-1.1342636644336677e-11,,,,,,,,1.9841390194529667e-12
2021-09-30,,,,,1.072197089270429e-12,,,,,,,-1.0400319741021598e-12,,,,,,,6.557211532336976e-12,,,,,,,,-7.461052260605214e-13,1.0635778229069464e-12,,,,,,,,,-4.705381549967355e-13,,-3.389421052554854e-13,,3.870569718728985e-12,,-1.1848678577570548e-11,,,,1.1402925175051134e-12,,,,
2021-11-30,,,,,1.7720197819470653e-12,,,,,,,-2.870722932515489e-12,,,,,-1.4649444670498627e-12,,7.485923494348253e-12,,,,,,,,-2.3091080486759356e-12,,,,,,7.029431961388123e-13,,7.488352778086852e-13,,-2.1351352713701596e-12,,-1.981851513240266e-12,,,,,,,,,,,,8.186042920453996e-13
2021-12-31,,,,1.0188199548548004e-10,,,,,,,,-1.2228894513059373e-10,,,,,,,1.2708783734682492e-10,,,-9.448007087794022e-11,,,,,-9.9476589713727e-11,,,,,,1.010925195979246e-10,,9.415729763685231e-11,1.2619528656193423e-10,-1.1343474968083757e-10,,-1.2074081773387675e-10,,,,,,,,,,,,
2022-01-31,,,,,1.0659280692014378e-10,,,,,,,,,,,,,,2.140399473211402e-10,,,-1.8041396159919256e-10,,,,,-1.889090022998634e-10,7.005576398725426e-11,,,,,2.8233773096065344e-10,,1.7457242787923934e-10,,-2.090516949689116e-10,,-2.0982159242231512e-10,-5.950889399236203e-11,,,,,,,,,,,
2022-02-28,,-3.9573628425161225e-11,,-3.7401796274647516e-11,6.872615714769569e-11,,,,,-3.972969800765204e-11,,-4.002868862779526e-11,,,-3.9684832539876516e-11,,,,,,,-2.2000665157182405e-10,,,,,,3.36090917918796e-11,,,,,2.4565890246549155e-10,,1.3708999532441038e-10,,,,,,,,,,,,,,,,
2022-03-31,,-5.640550343355797e-11,,-5.2988500324145395e-11,5.3067399195131766e-11,,,,,-5.664534542122526e-11,,-5.717088916910957e-11,-1.579898542292222e-11,,,,,,,,,,,,,,-1.6900343252689536e-11,1.836277489810687e-11,,,,,2.3050918551457278e-10,,,,-1.6841668412696476e-11,,,,,,,,,,,,,,
2022-05-31,,,,,6.523942368806488e-11,,,,,-1.267183136644093e-10,,,1.0615050779347924e-11,,-7.463826311838053e-11,,,,,,,,,,,,,3.98521706301852e-11,,,,,3.0178146693396546e-10,,2.8667873009629846e-11,,,,,,,,-8.999484960440259e-11,,,,-7.21294992485291e-11,,,,-8.266096027145246e-11
2022-06-30,,-2.930067454675668e-11,,-2.6828158348778313e-11,3.82066382057739e-11,,,,,,,,-1.6180096872869743e-11,,,,,,,,,-2.8756459693441454e-11,,,,,,1.3476749439939158e-11,,,,,2.751505963160185e-10,,,,-2.850026573745591e-11,,-2.8695923501119677e-11,,,,-1.188171885354131e-10,,,,,,,,
2022-08-31,,-1.4259358139668544e-10,,,9.881941253003285e-11,,,,,-1.2705130634727431e-10,,,,,-1.1284353148459573e-10,,,,,2.893570782667156e-11,,-1.368442127607925e-10,,,,,,5.501345923849245e-11,,,,,4.3829501150200353e-10,,2.2962650183525007e-11,,,,,,,,,,,,,,,-1.2465355836463507e-10,
2022-09-30,,-1.504417660443213e-10,,,,,-6.4690905403883525e-12,,,-1.3511717572136374e-10,,,-6.61542390383196e-12,,-1.21030650415578e-10,,,,,2.2368791990695776e-11,,,,-7.959208808258177e-12,,,,,-7.814938697291526e-12,,,,4.328854998444304e-10,,,,,,,,-6.876420229616457e-12,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,,,,-3.80251892388833e-11,-1.4329697666011327e-11,,-3.789200000999621e-11,,,-3.675783902824278e-11,,,,-4.58256032182042e-11,-3.6827846437584994e-11,-3.816379357817765e-11,,3.969066693490286e-10,,,,,,,,-4.3556230968867544e-11,,-3.872119374947287e-11,,,,,,,,
2022-11-30,-2.3376681035171136e-11,,,,,,,,,,-2.310103192238387e-11,,,,-2.230785380064814e-11,,-2.2967610125479282e-11,,,-3.663324536703301e-11,,,,,,,,,,-5.921015233661525e-11,-6.150898085395775e-11,,3.7495688421375133e-10,,,,,,,,,-2.2262860562514452e-11,-6.262704735956749e-11,,,,,,,,
2023-01-31,-8.874467377848997e-11,,,9.135088046679433e-11,8.422128703656877e-11,,,,,,,,,,,,,,1.0116459677933414e-10,,,,,,,,,8.460080112527817e-11,-2.5687212875319694e-11,-9.102140109376975e-11,,,,,2.6491359510801825e-11,,,,,,,,-1.483344866751204e-10,,,-3.419443502493781e-11,,,,,
2023-02-28,,-1.654573261282666e-11,,7.636264530278156e-11,6.966046569190884e-11,,,,,,,,,,,,,,8.631951600256596e-11,,-1.6780214107940536e-11,,,,,,,6.936449903869754e-11,-4.2503878640238794e-11,,,,,-1.5160676805262257e-11,,,-1.6733055267126162e-11,,,,,,-1.6544649960594607e-10,,,,,,,,
2023-03-31,,,,8.199483888266344e-11,,,5.9725396408735965e-12,,,4.584905009346494e-12,,,,,,,,,,5.762183503527435e-12,,,4.58753169638459e-12,,,,,7.578819543439314e-11,-3.773732001150939e-11,,,,,,,,,,,,5.9330094834008694e-12,,-1.6109639043464297e-10,,,,,,,4.7043665815609326e-12,
2023-05-31,,,,,-6.753989603582507e-12,-8.110347704665493e-12,-6.145681901292164e-13,-8.283620243271922e-12,,,,,-6.856933624229751e-12,-8.230574039042893e-12,,,,,,-1.1953601925529418e-12,,,,,,,,6.969410504574826e-11,,,,,,,,-8.196598195794671e-12,,,,-8.079413170865786e-12,,,,,,,,,,,
2023-06-30,,,,,-1.0413011029548206e-11,,-4.424368312308109e-12,,,,,,,,,-3.954141953938937e-12,,,,,,-5.376247123639945e-12,,,,,,6.555138086714384e-11,-5.176526199913511e-12,,,,-3.769907239719052e-12,,,,,,-5.247633000993684e-12,-1.3363917448483204e-11,,,-5.535570234053275e-12,,,,,,,,
2023-07-31,,1.4779337251479982e-12,,,,,-1.8393542950291945e-12,,,,,,,,,,,,2.5884455016212827e-12,,,-4.073318838178483e-12,,2.689742229666832e-12,2.642437267199229e-12,,,,,,,,-6.468606791207453e-13,,,,1.488071777876443e-12,,-3.767917885841248e-12,,,,-4.281034239118128e-12,,,,,,,,
2023-08-31,-7.88936495718987e-11,,,7.030943562605126e-11,8.38291897042775e-11,,,,,,,,,,,,,,5.0797712188350634e-11,,,-7.227205135418059e-11,,,,,-7.28291664668408e-11,,,,,,1.2154202048829408e-10,,,,-6.303098861674499e-11,,,,,,-9.429912491114372e-11,,,,5.4758714970100104e-11,,,,
2023-10-31,,,,,1.036362032985411e-10,,,,,,,,,,,1.9194065935099947e-11,,,,1.9429259288849967e-11,,-5.467981725263069e-11,,,,,-5.531385582209607e-11,1.9116693220632074e-11,,,,,,,,,-4.5299410117983856e-11,,1.789928510044638e-11,,1.935069541964713e-11,,-7.66309623288778e-11,,,,,,,,
2023-11-30,,,,,2.454980521644126e-10,,,,,-6.731455227594113e-11,,,,,,,,,7.163363765521309e-11,,,-1.0898290411721373e-10,,,,,-1.1437850105922234e-10,,,,,,9.429669517247592e-11,9.766622144086261e-11,5.27271038585695e-11,,-1.0186489402851045e-10,,,,,,-1.694124481842772e-10,,,,,,,,
2024-01-31,,,,,2.3135744114506244e-10,,,,,-8.419891816593343e-11,,,,,-1.676290204367327e-11,,,,5.6730840058705e-11,,,-1.2571776406103118e-10,,,,,,-1.4986401878783973e-11,,,,,7.938029050425226e-11,,3.790700938219689e-11,,-1.1848045634709028e-10,,,-1.6938984238458238e-11,,,,,,,,,,,
2024-02-29,,,,,2.2169781932729524e-10,,,,,,,,,,,,,-1.211281216775587e-11,4.6577638949277003e-11,,,-1.3781496570729896e-10,,,,,-1.1904925011034609e-11,-2.496969797004706e-11,,,,,6.93168402804838e-11,,2.8486656857170658e-11,,-1.3037943326862936e-10,,,-2.926256247087604e-11,,,,,,,,,,,
2024-04-30,,,-6.518834772639573e-11,,2.81177031567139e-10,,,3.07662488282533e-11,,,,,,,,,,-1.0647459381340863e-10,,,,-2.1473303400987155e-10,,9.863530854210609e-11,,,-1.0673475745839879e-10,,,,,,1.2586181260904133e-10,,1.4679165398703878e-10,,-1.9006888040201282e-10,,,,,,,,,,,,,,
2024-05-31,,,-6.186809845567083e-11,,2.8564338322178724e-10,,,,,,,,,,,,,,,,,-2.1134594865222769e-10,,1.0421157847622595e-10,,,-1.0382473667787826e-10,4.962298969184574e-12,,,,5.111490687825324e-12,,,1.5284283907469371e-10,,-1.8660142499221201e-10,,,,,,,,,,,3.2225029116663984e-12,,,
2024-07-31,,,-8.569839015733363e-11,,2.628104811188363e-10,,,-2.2360675009843116e-11,,,,,,-2.380577895709159e-11,,-2.236233303873753e-11,-2.4102774356056526e-11,,,,,,,,,,-1.2783695097922776e-10,,,,,,,,1.3094419957124715e-10,,,,-2.3594219091138904e-11,,-2.2472714814634257e-11,,,,,,,,,,
2024-09-30,,,,-2.8446613338412454e-11,2.337946283809006e-10,,,-5.089733059064405e-11,,,,,,,-3.0572524661508873e-11,,,-3.041190625105171e-11,,,,,,,,,,,,,,,,,1.0202839675888445e-10,-2.8479930345097286e-11,-3.05092011212452e-11,,-5.3544965092673174e-11,,,,,,,,,,,,-3.0170864623077996e-11
2024-10-31,,,,,2.2271290244672502e-10,,,-6.252847971782273e-11,,,,,-1.1174675146618133e-11,,-4.309228832649292e-11,,,-4.292038565356155e-11,,,,,,,,,,-1.1152092287114438e-11,-1.2378065364058469e-11,,,,,,9.048260888372625e-11,,-4.2827537511905636e-11,,-6.575537376761322e-11,,,,,,,,,,,,
