,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,GOOGL,HD,HON,INTC,INTU,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SPY,TMO,TXN,UNH,UNP,UPS,V,WMT,XOM
2017-01-31,,,,,0.2,,,,,-0.2,-0.2,,,-0.2,,,,,,,,,,,,,,,,0.2,,,0.2,,0.2,,,,,,0.2,,-0.2,,,-0.2,,,,,
2017-02-28,,,,,0.2,,,,,-0.2,-0.2,,,-0.2,-0.2,,,,,,,,,,,,,,,0.2,,,0.2,,0.2,,,,,,0.2,,-0.2,,,,,,,,
2017-03-31,,,,,0.2,,-0.2,,0.2,,-0.2,,,,,,,,,,,,,,,,,,,0.2,,,0.2,,0.2,,-0.2,-0.2,,,,,-0.2,,,,,,,,
2017-05-31,-0.2,,,,0.2,,,,0.2,,-0.2,,,,,,,,,,,,,,,,,,,0.2,,,0.2,,0.2,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2017-06-30,,,,,0.2,,,0.2,,,,,0.2,,,-0.2,,,,,,,,,,-0.2,,-0.2,,,-0.2,,0.2,,0.2,,,,,,,,-0.2,,,,,,,,
2017-07-31,,,,,0.2,0.2,,0.2,,-0.2,,,,,-0.2,,,,,,-0.2,,,,,,,,,,-0.2,,0.2,,0.2,,,,,,,,-0.2,,,,,,,,
2017-08-31,,,,,0.2,,,0.2,,-0.2,,,0.2,,-0.2,,,,,,-0.2,,,,,,,,,,-0.2,,0.2,,0.2,,,,,,,,-0.2,,,,,,,,
2017-10-31,,0.2,,,0.2,,,,,-0.2,,,,,,,-0.2,-0.2,,,-0.2,,,,,,,,,,,,0.2,,0.2,,,,,,0.2,,-0.2,,,,,,,,
2017-11-30,,,,,0.2,,,,,,,,,,,,-0.2,-0.2,,,,,,,,,,,,0.2,,-0.2,0.2,,0.2,,-0.2,,,,0.2,,-0.2,,,,,,,,
2018-01-31,,0.2,,,0.2,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,0.2,,0.2,,-0.2,,,-0.2,0.2,-0.2,-0.2,,,,,,,,
2018-02-28,,0.2,,,0.2,,,,,,,,,,,,,-0.2,,,,-0.2,,,,,-0.2,,,,,-0.2,0.2,,0.2,,,,,,0.2,,-0.2,,,,,,,,
2018-04-30,,0.2,,,0.2,,0.2,,,,,,,,,,,,,,,-0.2,,,,,-0.2,,,,,-0.2,0.2,,0.2,,,,-0.2,,,,-0.2,,,,,,,,
2018-05-31,,,,0.2,,,0.2,,,,,,,,-0.2,,,-0.2,0.2,,,,,,,,,,,,,,0.2,,0.2,,,-0.2,,,,,-0.2,,,,,,,,-0.2
2018-07-31,,,,,0.2,,,,,,,,,,,,-0.2,,0.2,,,-0.2,,,0.2,,,,,,,,0.2,,0.2,,-0.2,-0.2,,,,,-0.2,,,,,,,,
2018-08-31,,,,,0.2,,,0.2,-0.2,,,,,,,,-0.2,,,,-0.2,,,,,,,0.2,,,,,0.2,,0.2,,,-0.2,,,,,-0.2,,,,,,,,
2018-10-31,,,,0.2,0.2,,,,,,,-0.2,0.2,-0.2,,,,,,,-0.2,,,,,,,,,,,,,,0.2,,,-0.2,,,,,-0.2,,,,,0.2,,,
2018-11-30,,,,,0.2,,-0.2,0.2,,,,,,,,,,,,,-0.2,,,,0.2,,,,,,,-0.2,-0.2,,,,,,,,0.2,,-0.2,,,,,0.2,,,
2018-12-31,,,,,0.2,,-0.2,,,,0.2,,,-0.2,,,,,,,,,,,,,,,,,-0.2,,-0.2,,,,,,,0.2,0.2,,-0.2,,,,,,,0.2,
2019-01-31,-0.2,,,,0.2,,,,,,0.2,,,,,,,,,,,,,,,,,-0.2,,,,-0.2,-0.2,,,,,,,0.2,,,-0.2,,,,,0.2,,0.2,
2019-02-28,-0.2,0.2,,,0.2,,,0.2,,,0.2,,,,,,,,,,,,,,,,,-0.2,,,,,-0.2,,,,,,,,0.2,,-0.2,,,,,,,,-0.2
2019-04-30,-0.2,,,,0.2,,,0.2,,,,,0.2,,,,,,0.2,,,-0.2,,,,,,,,,,,0.2,,,,-0.2,,,,-0.2,,-0.2,,,,,,,,
2019-05-31,,,,,,,,0.2,,,,,,,,,-0.2,,0.2,0.2,-0.2,-0.2,,,,,,0.2,,,,,,,0.2,,,-0.2,,,,,-0.2,,,,,,,,
2019-07-31,-0.2,0.2,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,-0.2,,-0.2,,,,0.2,,,,,,-0.2,,0.2,,-0.2,,,,,,,,
2019-09-30,,,,0.2,0.2,-0.2,,,,,,,,,,,,,,0.2,,,,,,,-0.2,,,,,-0.2,,,0.2,,,,,,0.2,,-0.2,,,,,,,-0.2,
2019-10-31,,,,0.2,0.2,,,,-0.2,,,,,,,,,,-0.2,0.2,-0.2,,,,,,,,,,,-0.2,,,0.2,,,,,,0.2,,-0.2,,,,,,,,
2019-12-31,-0.2,,,-0.2,0.2,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,-0.2,,,,0.2,,,0.2,,,0.2,,-0.2,,,,,0.2,,,
2020-01-31,,,,,0.2,,,0.2,,,,,,,,,,,,,,,,-0.2,,,-0.2,,,,-0.2,-0.2,,,0.2,,,,,,0.2,,-0.2,,,,,0.2,,,
2020-03-31,,,,,0.2,,-0.2,,,,,-0.2,,,0.2,,,,,,,,,,0.2,,,,-0.2,0.2,,,,,,,,-0.2,,,0.2,,,,,,,,,-0.2,
2020-04-30,,,,,,-0.2,-0.2,,0.2,,,-0.2,,,,,,,,,0.2,,,,,,,,-0.2,0.2,,,,,0.2,,,,,,,0.2,,,,,,,,-0.2,
2020-06-30,-0.2,-0.2,,,0.2,,,,,,,,,,0.2,-0.2,,,0.2,,,-0.2,,,,,,,,,,,,,0.2,,,,,,,,-0.2,,,0.2,,,,,
2020-07-31,,,,,,,-0.2,,0.2,,,-0.2,,,0.2,,,,0.2,,,,,,,,,,,,,,,,0.2,,,,-0.2,,,0.2,,,,,,-0.2,,-0.2,
2020-08-31,,,,,,,,,,-0.2,,-0.2,,,0.2,,,,0.2,,,,,,,,,,-0.2,0.2,,,,,0.2,,,-0.2,,,,0.2,,,,,,,,-0.2,
2020-09-30,,,,,0.2,,,,0.2,-0.2,,-0.2,,,0.2,,,,,,,,,,,,,,-0.2,0.2,,,,-0.2,0.2,,,,,,,,-0.2,,,,,,,,
2020-11-30,,-0.2,,,,,,,,,,-0.2,0.2,,0.2,-0.2,,,0.2,,,,,,0.2,,,,,,,,,,0.2,,,,,,,,-0.2,,,,,,,-0.2,
2020-12-31,,-0.2,,,0.2,,-0.2,,0.2,,,-0.2,,,0.2,,,,,,,,,,0.2,,,,,,,,,,0.2,,,,,,,,-0.2,,,,,,,-0.2,
2021-03-31,,,,,0.2,,,,,-0.2,,-0.2,0.2,,,,-0.2,,,,,,,0.2,,,,,,,,,0.2,,,,,,-0.2,,,,-0.2,,,,,,,,0.2
2021-04-30,,,,,0.2,,,,,-0.2,,-0.2,0.2,,,,-0.2,,0.2,,,,,,,,,,,,,,0.2,,,,,,,,,,-0.2,,,,,-0.2,,,0.2
2021-06-30,,,,,0.2,,,,,-0.2,,,0.2,,,-0.2,,,0.2,,,,,,,,,,,,-0.2,,0.2,,,,,,,-0.2,0.2,,-0.2,,,,,,,,
2021-08-31,,,,,,,,,,,,-0.2,,-0.2,0.2,,,,0.2,-0.2,,,,,,0.2,,,,,-0.2,,,,,,,,,,0.2,,-0.2,,,,,,,,0.2
2021-09-30,,,,,0.2,,,,,,,-0.2,,,,,,,0.2,,,,,,,,-0.2,0.2,,,,,,,,,-0.2,,-0.2,,0.2,,-0.2,,,,0.2,,,,
2021-11-30,,,,,0.2,,,,,,,-0.2,,,,,-0.2,,0.2,,,,,,,,-0.2,,,,,,0.2,,0.2,,-0.2,,-0.2,,,,,,,,,,,,0.2
2021-12-31,,,,0.2,,,,,,,,-0.2,,,,,,,0.2,,,-0.2,,,,,-0.2,,,,,,0.2,,0.2,0.2,-0.2,,-0.2,,,,,,,,,,,,
2022-01-31,,,,,0.2,,,,,,,,,,,,,,0.2,,,-0.2,,,,,-0.2,0.2,,,,,0.2,,0.2,,-0.2,,-0.2,-0.2,,,,,,,,,,,
2022-02-28,,-0.2,,0.2,0.2,,,,,-0.2,,-0.2,,,-0.2,,,,,,,-0.2,,,,,,0.2,,,,,0.2,,0.2,,,,,,,,,,,,,,,,
2022-03-31,,-0.2,,0.2,0.2,,,,,-0.2,,-0.2,0.2,,,,,,,,,,,,,,-0.2,0.2,,,,,0.2,,,,-0.2,,,,,,,,,,,,,,
2022-05-31,,,,,0.2,,,,,-0.2,,,0.2,,-0.2,,,,,,,,,,,,,0.2,,,,,0.2,,0.2,,,,,,,,-0.2,,,,-0.2,,,,-0.2
2022-06-30,,-0.2,,0.2,0.2,,,,,,,,0.2,,,,,,,,,-0.2,,,,,,0.2,,,,,0.2,,,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2022-08-31,,-0.2,,,0.2,,,,,-0.2,,,,,-0.2,,,,,0.2,,-0.2,,,,,,0.2,,,,,0.2,,0.2,,,,,,,,,,,,,,,-0.2,
2022-09-30,,-0.2,,,,,0.2,,,-0.2,,,0.2,,-0.2,,,,,0.2,,,,-0.2,,,,,-0.2,,,,0.2,,,,,,,,0.2,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,,,,-0.2,0.2,,-0.2,,,0.2,,,,-0.2,0.2,-0.2,,0.2,,,,,,,,0.2,,-0.2,,,,,,,,
2022-11-30,-0.2,,,,,,,,,,-0.2,,,,0.2,,-0.2,,,0.2,,,,,,,,,,0.2,-0.2,,0.2,,,,,,,,,0.2,-0.2,,,,,,,,
2023-01-31,-0.2,,,0.2,0.2,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,-0.2,-0.2,,,,,0.2,,,,,,,,-0.2,,,-0.2,,,,,
2023-02-28,,-0.2,,0.2,0.2,,,,,,,,,,,,,,0.2,,-0.2,,,,,,,0.2,-0.2,,,,,0.2,,,-0.2,,,,,,-0.2,,,,,,,,
2023-03-31,,,,0.2,,,0.2,,,-0.2,,,,,,,,,,0.2,,,-0.2,,,,,0.2,-0.2,,,,,,,,,,,,0.2,,-0.2,,,,,,,-0.2,
2023-05-31,,,,,0.2,-0.2,0.2,-0.2,,,,,0.2,-0.2,,,,,,0.2,,,,,,,,0.2,,,,,,,,-0.2,,,,-0.2,,,,,,,,,,,
2023-06-30,,,,,0.2,,0.2,,,,,,,,,0.2,,,,,,-0.2,,,,,,0.2,-0.2,,,,0.2,,,,,,-0.2,-0.2,,,-0.2,,,,,,,,
2023-07-31,,-0.2,,,,,0.2,,,,,,,,,,,,0.2,,,-0.2,,0.2,0.2,,,,,,,,0.2,,,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2023-08-31,-0.2,,,0.2,0.2,,,,,,,,,,,,,,0.2,,,-0.2,,,,,-0.2,,,,,,0.2,,,,-0.2,,,,,,-0.2,,,,0.2,,,,
2023-10-31,,,,,0.2,,,,,,,,,,,0.2,,,,0.2,,-0.2,,,,,-0.2,0.2,,,,,,,,,-0.2,,-0.2,,0.2,,-0.2,,,,,,,,
2023-11-30,,,,,0.2,,,,,-0.2,,,,,,,,,0.2,,,-0.2,,,,,-0.2,,,,,,0.2,0.2,0.2,,-0.2,,,,,,-0.2,,,,,,,,
2024-01-31,,,,,0.2,,,,,-0.2,,,,,-0.2,,,,0.2,,,-0.2,,,,,,0.2,,,,,0.2,,0.2,,-0.2,,,-0.2,,,,,,,,,,,
2024-02-29,,,,,0.2,,,,,,,,,,,,,-0.2,0.2,,,-0.2,,,,,-0.2,0.2,,,,,0.2,,0.2,,-0.2,,,-0.2,,,,,,,,,,,
2024-04-30,,,-0.2,,0.2,,,0.2,,,,,,,,,,-0.2,,,,-0.2,,0.2,,,-0.2,,,,,,0.2,,0.2,,-0.2,,,,,,,,,,,,,,
2024-05-31,,,-0.2,,0.2,,,,,,,,,,,,,,,,,-0.2,,0.2,,,-0.2,0.2,,,,0.2,,,0.2,,-0.2,,,,,,,,,,,-0.2,,,
2024-07-31,,,-0.2,,0.2,,,0.2,,,,,,-0.2,,0.2,-0.2,,,,,,,,,,-0.2,,,,,,,,0.2,,,,-0.2,,0.2,,,,,,,,,,
2024-09-30,,,,0.2,0.2,,,0.2,,,,,,,-0.2,,,-0.2,,,,,,,,,,,,,,,,,0.2,0.2,-0.2,,-0.2,,,,,,,,,,,,-0.2
2024-10-31,,,,,0.2,,,0.2,,,,,0.2,,-0.2,,,-0.2,,,,,,,,,,0.2,-0.2,,,,,,0.2,,-0.2,,-0.2,,,,,,,,,,,,
